location,station_id
Antigo,KAIG0
Appleton,KATW0
Ashland,KASX0
"Cambridge, MN",KCBG0
"Decorah, IA",KDEH0
"Dubuque, IA",KPVB0
Duluth,KDYT0
Eau Claire,KEAU0
Green Bay,72645
Iron Mountain,KIMT0
Ironwood,KIWD0
Janesville,KJVL0
La Crosse,KARX0
Lone Rock,KLNR0
Madison,KC290
Manitowoc,KMTW0
Marinette,KMNM0
Marshfield,KMFI0
Milwaukee,72640
Mosinee,KCWA0
Oshkosh,KOSH0
Phillips,KPBH0
"Red Wing, MN",KRGK0
Rhinelander,KRHI0
Rice Lake,KRPD0
Sturgeon Bay,KSUE0
Watertown,KRYV0
Wausau,72646
"Winona, MN",KONA0
Woodruff,KARV0
